db,db_name,exchange,cab,address,lat,long,notes
CL,Central London,BERMONDSEY,P1,"JCN CATHAY STREET & JAMAICA ROAD, BERMONDSEY, LONDON.  - SE16 4RS",51.498966217041016,-0.05838024243712425,
CL,Central London,BERMONDSEY,P11,S/O BHF SHOP 211 OLD KENT ROAD JCN MARCIA ROAD BERMONDSEY LONDON   - SN1 5NH,51.4904899597168,-0.08039113879203796,
CL,Central London,BERMONDSEY,P13,O/S ST MARYS ESTATE  ST MARYCHURCH STREET LONDON - SE16 4HY,51.49987030029297,-0.05469672381877899,
CL,Central London,BERMONDSEY,P17,"O/S 2 REGENERATION ROAD, BERMONDSEY, LONDON. - SE16 2NX",51.48941421508789,-0.04792500287294388,
CL,Central London,BERMONDSEY,P2,"S/O 180 JAMAICA ROAD, JCN DRUMMOND ROAD, BERMONDSEY, LONDON. - SE16 4RT",51.49819564819336,-0.0622454434633255,
CL,Central London,BERMONDSEY,P21,"Dower Court, Silwood Street  SE16 2BF",51.48966598510742,-0.053026553243398666,
CL,Central London,BERMONDSEY,P22,"RAYMOUTH ROAD, JCN ROTHERHITHE ROAD, BERMONDSEY, LONDON. - SE16 2DB",51.49046325683594,-0.05531318113207817,
CL,Central London,BERMONDSEY,P23,(PCP23) CHAMBERS STREET OPP FLOCKTON STREET BERMONDSEY LONDON SE16 4XL  - SE16 4XL,51.50065231323242,-0.06832237541675568,
CL,Central London,BERMONDSEY,P25,"Ness Street Jcn Spa Road, London - SE16 4AQ",51.49630355834961,-0.06863583624362946,
CL,Central London,BERMONDSEY,P26,OPP WELLER HOUSE GEORGE ROW BERMONDSEY LONDON SE16 4UU  - SE16 4UU,51.498931884765625,-0.06920197606086731,
CL,Central London,BERMONDSEY,P27,"O/S 162 -164 ABBEY STREET, BERMONDSEY, LONDON. - SE1 2AN",51.49818420410156,-0.07179813086986542,
CL,Central London,BERMONDSEY,P28,"O/S 130 ABBEY STREET, BERMONDSEY, LONDON - SE1 3NP",51.49772644042969,-0.07586576789617538,
CL,Central London,BERMONDSEY,P29,opposite  Bolanachi Building spa Road London  - SE16 3SG,51.49591064453125,-0.07032370567321777,
CL,Central London,BERMONDSEY,P3,"UNDER RAILWAY ARCH, SOUTHWARK PARK ROAD, JCN. DRUMMOND ROAD, BERMONDSEY, LONDON - SE16 2HB",51.492427825927734,-0.06037243455648422,
CL,Central London,BERMONDSEY,P30,"GRIMSCOTT STREET, S/O 43 GRANGE ROAD, BERMONDSEY, LONDON. - SE1 3BH",51.495643615722656,-0.07882039248943329,
CL,Central London,BERMONDSEY,P31,"Dunton Road, London S/O BREWSTER House, 111-115 Grange Road, Bermondsey, London   - SE1 3BL",51.49312210083008,-0.07404296100139618,
CL,Central London,BERMONDSEY,P32,"REAR OF 146 SOUTHWARK PARK ROAD, MONNOW ROAD, BERMONDSEY, LONDON - SE1 3RP",51.49208450317383,-0.06747443228960037,
CL,Central London,BERMONDSEY,P34,"O/S Towergate, 112 Pages Walk, London - SE1 4HQ",51.49297332763672,-0.08308163285255432,
CL,Central London,BERMONDSEY,P35,"George Row Jcn Wolseley Street, London - SE1 2BL",51.50041580200195,-0.0692976862192154,
CL,Central London,BERMONDSEY,P36,O/S  1-6 MARLOW HOUSE MALBY STREET JCN ABBEY STREET LONDON - SE1 3DW,51.497947692871094,-0.07548197358846664,
CL,Central London,BERMONDSEY,P37,"O/S 1-80 Bolanachi Building, Spa Road, Bermondsey, London  - SE16 3SG",51.49604034423828,-0.07064951211214066,
CL,Central London,BERMONDSEY,P38,O/S ROTHERHITHE STN (LT) BRUNEL ROAD. BERMONDSEY LONDON  - SE16 4LD,51.50082015991211,-0.05183222144842148,
CL,Central London,BERMONDSEY,P39,In Southwark Park Road  S/O Hickling House Bermondsey London  - SE16 2ER,51.49537658691406,-0.05968547239899635,
CL,Central London,BERMONDSEY,P40,O/S 64 RECULVER ROAD. BERMONDSEY  LONDON  - SE16 2RS,51.48849868774414,-0.04903009161353111,
CL,Central London,BERMONDSEY,P42,"Raymouth Road Jcn Nelldale Road, London - SE16 2DH",51.4915771484375,-0.057282619178295135,
